Coastal American Airways - Airport-to-Airport O&D Matrix (Consolidated)
"Average daily O&D passengers, real BTS DB1C data, simple mean of 6 months: July 2025, April 2026, December 2025, February 2026, January 2026, November 2025. Secondary-airport rows use the dampened own/primary blend (see BLEND_WEIGHTS in process_chunk.py). Rows = origin, Columns = destination. Values are directional."

Origin \ Dest,ABE,ACY,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BLV,BNA,BTR,BTV,BUF,BWI,CAE,CAK,CHA,CHS,CID,CLT,CMH,COU,CRP,CRW,DAB,DAL,DAY,DLH,DSM,ECP,ELP,ERI,EYW,FAR,FLL,FSD,FWA,GNV,GPT,GRR,GSO,GSP,HOU,HPN,HRL,HSV,HVN,ICT,ILM,IND,ISP,JAN,JAX,LBB,LEX,LIT,MAF,MCI,MCN,MDT,MEM,MFE,MHT,MKE,MLB,MOB,MSN,MSY,MYR,OKC,OMA,ORH,PGD,PHF,PIA,PIE,PIT,PNS,PVD,PWM,RDU,RFD,ROA,ROC,SAT,SAV,SBN,SDF,SFB,SGF,SHV,SRQ,SWF,SYR,TLH,TOL,TRI,TTN,TUL,TYS,VPS,XNA
ILM,0.7,0.2,0.1,3.8,0.8,8.5,1.2,0.7,10.6,1.4,1.9,5.1,19.2,1.1,3.0,3.5,13.2,0.1,5.4,1.5,0.7,1.4,4.8,6.7,0.3,0.5,0.5,0.9,14.2,1.6,0.1,2.6,1.2,1.3,0.3,3.1,0.6,21.4,1.0,0.8,0.6,0.9,3.6,0.3,0.8,6.8,1.3,0.2,1.6,16.4,1.5,,7.1,16.1,1.3,3.0,0.4,1.9,1.8,0.4,6.1,0.0,1.9,3.6,0.4,7.3,4.7,0.7,0.7,2.4,6.5,0.7,2.8,4.0,0.2,10.3,0.5,0.5,19.9,8.5,2.9,9.8,3.2,1.6,24.5,0.2,10.2,6.2,0.6,1.1,3.4,28.9,1.2,0.9,2.4,0.0,3.6,1.0,0.0,0.4,0.0,1.9,2.1,1.2,1.8
IND,2.2,0.3,3.6,9.1,1.7,77.2,4.4,1.7,18.6,3.8,8.5,3.6,15.6,3.8,4.6,6.5,53.5,7.0,4.5,3.0,21.5,1.9,61.6,2.1,0.5,3.0,0.4,4.5,106.0,0.3,1.4,7.4,10.6,9.8,0.2,21.6,3.9,165.8,5.2,1.0,3.6,3.4,1.9,9.0,11.6,54.8,1.4,6.2,3.1,0.0,5.2,7.1,,1.6,4.0,45.2,3.5,0.2,5.7,2.9,37.8,0.0,6.9,11.1,4.7,4.0,4.5,2.5,2.9,4.8,32.4,9.7,13.5,11.3,0.1,104.2,12.2,0.1,105.7,9.3,11.6,9.9,7.3,50.9,44.2,2.8,5.1,29.7,18.9,0.5,1.7,247.1,2.9,2.7,67.8,0.0,7.9,3.9,0.0,1.3,0.1,7.9,3.8,14.7,7.0
ISP,0.0,0.0,0.0,0.1,0.0,2.4,0.0,0.0,0.0,0.0,1.3,1.3,3.7,0.0,0.0,0.8,18.1,0.0,0.6,0.0,20.3,0.0,4.2,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,58.4,0.0,0.0,0.0,0.0,0.3,0.0,2.0,1.1,0.1,0.0,0.0,0.0,0.0,16.1,1.6,,0.1,4.8,0.1,0.0,0.0,0.1,1.8,0.0,0.0,0.3,0.0,0.2,1.6,0.0,0.0,0.0,2.8,15.7,0.2,0.1,0.0,35.8,6.3,0.0,65.3,1.1,0.2,0.0,0.2,17.1,1.9,0.0,0.4,2.2,2.2,0.0,1.1,166.7,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0
JAN,0.5,0.0,0.9,1.2,0.7,7.2,1.7,0.3,2.2,0.3,0.6,3.5,11.3,0.2,0.5,1.5,19.4,2.3,2.7,0.5,3.8,0.7,11.6,3.7,0.3,1.1,0.9,1.1,16.4,1.2,0.1,1.4,0.4,1.8,0.1,1.3,0.4,5.7,0.6,0.6,0.8,0.4,1.8,2.4,2.1,16.4,0.6,0.6,0.4,0.0,1.1,1.2,4.1,0.1,,5.0,0.7,1.6,0.5,4.1,5.3,0.0,1.1,0.8,0.5,0.5,3.1,0.7,0.2,2.0,1.0,1.1,3.2,2.6,0.0,1.8,3.4,0.1,6.1,4.4,0.4,1.6,0.8,7.6,15.4,0.9,0.8,7.1,2.9,0.9,2.8,16.6,0.7,0.2,1.4,0.0,0.8,0.7,0.0,0.4,0.0,1.7,2.0,0.3,1.5
JAX,2.5,0.4,0.6,14.1,3.3,46.7,4.5,2.6,32.2,3.0,10.5,40.2,79.7,3.6,7.3,18.1,76.3,1.3,20.6,4.7,4.9,4.6,39.9,32.0,1.0,3.1,2.6,0.7,83.1,6.7,0.9,11.7,0.8,7.6,0.7,4.2,2.5,9.2,3.6,3.6,0.9,2.4,22.6,6.5,5.5,41.5,13.3,1.9,5.9,20.2,5.8,3.0,44.8,4.7,4.9,,2.4,7.6,7.9,2.9,31.1,0.0,17.7,16.7,2.1,5.4,16.5,0.2,1.7,7.6,25.6,2.0,13.7,12.4,0.4,3.1,46.3,2.3,4.9,45.4,4.3,26.4,9.3,28.6,135.6,4.0,14.1,23.1,2.0,4.4,15.5,8.9,5.8,3.1,1.0,0.0,12.7,0.8,0.0,2.7,0.0,8.6,20.2,1.0,8.1
LBB,0.1,0.0,0.4,0.7,0.2,21.0,0.3,0.2,1.0,0.1,1.9,3.6,7.9,0.8,0.2,0.7,3.9,0.5,1.3,0.5,1.9,0.7,3.2,2.4,0.3,2.2,0.1,0.1,34.4,0.5,0.0,1.3,2.4,2.8,0.0,0.3,0.6,4.8,0.6,0.4,0.3,0.5,1.3,0.6,1.2,27.9,0.0,2.2,0.8,0.0,0.6,0.4,3.5,0.1,0.7,2.4,,0.5,1.8,0.6,4.9,0.0,0.4,2.5,1.5,0.3,1.9,0.0,0.5,2.1,5.3,0.6,1.2,1.9,0.0,1.0,1.4,0.3,5.2,2.2,2.0,0.5,0.5,3.9,7.9,0.2,0.4,10.1,1.5,0.5,2.0,13.5,0.8,0.5,0.5,0.0,0.5,0.4,0.0,0.3,0.0,2.2,1.5,2.8,1.2
LEX,0.6,0.0,0.9,2.9,1.0,8.8,0.3,0.3,4.3,0.5,2.1,1.8,1.0,1.4,1.1,1.5,4.5,1.5,1.3,0.3,4.4,0.8,11.0,0.3,0.2,0.4,0.1,1.5,14.4,0.1,0.3,1.5,2.6,2.1,0.1,2.1,0.5,30.5,1.1,0.1,2.6,0.8,1.5,2.6,1.6,7.3,1.0,0.2,0.5,0.0,1.3,2.0,0.3,0.0,1.5,7.6,0.5,,2.1,0.7,5.7,0.0,1.6,2.3,0.7,0.5,2.2,1.4,0.8,1.8,7.6,5.0,3.3,2.5,0.0,13.7,2.8,0.2,14.1,2.3,2.6,2.4,2.1,7.6,30.6,0.3,1.2,9.6,4.3,0.3,1.8,18.9,0.8,0.8,16.4,0.0,1.8,1.6,0.0,0.1,0.0,2.1,0.3,5.0,2.2
LIT,1.0,0.0,1.4,1.9,1.1,11.8,1.7,0.6,4.1,0.8,2.4,8.6,6.2,1.7,1.1,2.1,9.7,3.2,5.0,1.7,6.0,1.0,17.3,5.6,0.3,1.2,0.7,1.9,26.2,1.6,0.2,1.9,3.7,3.3,0.1,2.1,0.8,9.5,1.0,0.9,1.2,0.9,2.9,2.9,3.1,22.7,1.0,1.0,1.2,0.0,1.0,1.8,5.8,0.0,0.5,7.6,1.8,1.9,,3.1,4.6,0.0,2.8,1.0,1.3,0.8,3.9,1.4,1.1,2.0,9.0,1.9,1.8,3.6,0.0,3.6,3.9,0.4,12.3,6.3,3.5,2.5,1.9,9.6,40.3,1.1,1.4,10.7,4.0,1.3,3.5,28.4,0.2,0.1,3.1,0.0,1.8,1.3,0.0,0.8,0.0,0.7,2.6,5.7,1.5
MAF,0.1,0.0,0.4,0.5,0.2,20.1,0.4,0.3,1.0,0.1,2.5,2.4,8.4,2.2,0.1,1.0,3.1,0.4,1.3,0.6,1.5,0.5,2.7,3.0,0.2,3.1,0.2,0.2,30.4,0.4,0.0,1.0,2.6,1.0,0.0,0.3,0.5,5.7,0.7,0.4,0.3,1.5,1.2,0.7,1.1,66.0,0.0,6.9,1.0,0.0,0.9,0.4,2.9,0.1,4.3,2.7,0.5,0.7,2.9,,3.7,0.0,0.4,2.3,5.5,0.1,1.6,0.1,1.2,0.7,10.2,0.8,5.0,1.6,0.0,1.4,0.9,0.2,5.6,5.7,2.4,0.3,0.3,3.0,6.6,0.3,0.3,5.5,1.6,0.3,1.6,15.3,1.3,2.5,1.1,0.0,0.5,0.4,0.0,0.5,0.0,5.0,1.8,2.0,1.0
MCI,2.6,0.2,4.2,8.7,3.8,76.6,5.5,2.0,16.2,2.7,12.7,19.3,77.9,3.8,4.1,10.5,45.4,6.3,20.4,4.6,20.4,0.9,62.7,25.8,0.2,4.4,2.0,3.7,102.1,4.7,1.3,0.8,19.2,12.7,0.3,7.6,4.1,95.1,1.3,3.2,3.1,3.0,13.4,8.3,10.4,61.2,2.1,7.1,5.0,0.0,1.5,6.0,37.8,1.8,5.4,31.5,4.9,5.7,4.8,3.7,,0.0,8.6,10.5,3.2,6.0,29.0,2.2,3.0,7.1,44.9,11.0,4.3,1.9,0.1,42.7,13.7,0.7,85.1,21.3,23.6,11.5,7.2,50.3,199.6,3.9,6.1,44.2,17.4,3.2,12.9,176.7,1.0,3.1,17.2,0.0,7.9,3.1,0.0,2.5,0.1,1.6,10.2,22.1,0.6
MCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDT,0.2,0.0,1.2,0.4,1.9,9.6,1.4,0.3,0.8,0.6,3.8,5.8,19.7,0.9,0.8,0.7,0.7,2.8,1.4,2.1,6.0,1.7,19.9,3.1,0.6,0.5,0.2,1.4,13.9,1.3,0.3,3.4,2.2,1.9,0.1,3.7,1.0,16.5,1.4,0.9,1.1,1.2,3.6,1.8,3.4,5.8,0.0,0.2,2.7,0.0,2.5,1.9,6.6,0.0,1.1,17.5,0.4,1.6,2.6,0.4,8.5,0.0,,5.1,0.5,0.9,4.0,1.0,0.8,4.0,5.7,9.0,4.5,4.5,0.1,13.9,1.1,1.0,15.8,0.8,4.3,1.3,1.6,5.9,46.2,0.2,0.4,9.0,5.7,1.5,3.9,36.6,2.9,1.2,24.0,0.0,0.3,1.1,0.0,0.6,0.0,3.1,3.0,2.1,2.9
MEM,1.7,0.2,1.7,4.3,1.5,30.7,3.1,1.1,8.0,1.4,1.3,2.4,7.0,1.6,2.0,5.2,29.7,4.3,9.3,2.0,12.6,1.7,39.2,11.6,0.3,2.1,1.1,2.0,59.8,3.1,0.6,3.8,3.4,5.0,0.3,3.4,1.8,46.6,2.6,1.8,2.3,0.8,5.6,6.4,6.4,43.3,1.6,1.9,0.5,0.0,2.6,3.6,10.8,0.3,1.0,16.8,2.4,2.3,1.0,2.2,10.4,0.0,5.2,,2.7,2.1,7.3,1.8,1.1,3.2,13.8,3.6,4.8,6.4,0.1,7.3,11.2,0.6,35.5,13.6,7.2,6.2,3.4,26.3,86.1,2.4,3.2,18.6,7.7,1.7,3.3,99.0,0.4,0.9,5.8,0.0,4.3,1.9,0.0,2.2,0.0,2.5,7.5,5.0,1.4
MFE,0.1,0.0,0.3,0.4,0.3,18.8,0.3,0.2,1.0,0.2,1.2,2.1,6.1,0.6,0.2,0.9,2.3,0.5,2.1,0.5,1.2,2.4,4.3,3.1,0.4,0.3,0.2,0.1,21.2,0.7,0.1,3.0,0.4,5.3,0.0,0.1,1.2,3.5,1.3,0.8,0.1,0.4,3.4,1.1,1.0,16.5,0.1,0.4,0.8,0.0,1.1,0.5,4.5,0.0,0.6,2.1,1.5,0.8,1.4,5.2,3.4,0.0,0.4,2.9,,0.1,2.8,0.0,0.7,1.3,4.2,0.3,2.4,2.2,0.0,1.3,1.4,0.4,2.7,2.2,0.7,0.3,0.2,4.3,11.6,0.2,0.5,1.4,1.1,1.3,1.5,13.7,0.9,0.5,0.3,0.0,0.7,0.3,0.0,0.3,0.0,1.9,1.7,0.2,1.2
MHT,0.1,0.1,0.7,0.1,0.2,5.4,1.4,0.0,0.2,0.1,2.8,4.0,5.8,0.2,0.1,0.9,39.3,1.6,1.8,0.8,12.7,0.4,18.7,3.6,0.1,0.3,0.2,0.8,3.6,1.5,0.0,0.8,0.9,1.0,0.1,1.2,0.1,22.5,0.1,0.4,0.5,0.3,2.3,1.4,4.5,2.4,0.0,0.2,1.8,0.0,0.4,7.1,4.2,0.1,0.5,5.5,0.3,0.5,0.9,0.1,6.0,0.0,0.9,2.3,0.1,,2.1,0.4,0.3,1.2,3.4,11.4,2.5,2.3,0.0,28.9,5.5,0.3,18.6,2.6,2.2,0.2,0.3,19.4,13.3,1.1,0.5,3.9,3.2,0.4,2.8,101.6,0.7,0.2,9.2,0.0,0.2,0.8,0.0,0.3,0.0,1.1,2.1,1.5,0.9
MKE,1.3,0.1,2.1,5.0,1.1,38.8,3.9,0.8,8.8,1.3,5.9,17.7,52.7,2.4,2.2,4.9,40.7,4.1,8.7,3.4,10.5,0.4,35.9,9.0,0.5,1.8,0.7,2.9,51.9,1.4,0.7,2.3,8.6,5.5,0.1,5.9,2.7,48.9,2.3,0.5,1.8,2.5,2.4,5.7,7.4,32.9,2.7,3.4,2.4,0.0,2.8,4.7,4.4,1.6,3.0,16.4,1.9,2.3,4.0,1.5,28.6,0.0,3.8,7.3,2.5,2.2,,1.6,2.4,2.6,19.1,5.5,6.8,6.5,0.1,65.0,6.8,0.1,52.7,10.8,8.0,6.4,4.1,20.0,10.3,2.0,4.4,18.0,10.4,0.2,4.8,162.7,1.8,1.7,16.0,0.0,3.3,2.3,0.0,1.5,0.0,4.8,5.8,4.8,3.3
MLB,17.2,0.0,0.4,1.6,0.2,1.5,1.0,0.5,2.0,0.1,1.3,1.6,3.3,0.3,0.6,1.5,2.7,0.6,1.8,1.0,1.1,0.9,13.1,2.4,0.0,0.0,0.7,0.2,2.1,2.3,0.0,0.9,0.3,0.5,0.3,0.1,0.1,0.2,0.2,0.9,0.0,0.5,2.1,1.1,1.3,0.8,0.6,0.0,3.8,0.0,0.8,0.8,2.4,0.0,0.7,0.2,0.0,1.3,1.5,0.0,2.2,0.0,1.0,1.8,0.0,0.5,1.5,,0.3,1.0,1.2,0.6,1.9,1.3,0.0,0.1,2.4,0.2,0.2,20.2,1.1,1.3,0.9,2.8,2.5,0.7,2.7,2.1,0.3,0.5,2.2,1.2,0.6,0.5,0.1,0.0,2.2,0.2,0.0,0.5,0.0,0.9,1.6,0.7,0.9
MOB,0.4,0.0,0.3,0.9,0.4,3.6,0.6,0.2,1.9,0.2,0.6,2.5,2.1,0.1,0.3,0.8,3.7,0.7,2.6,0.6,2.4,0.5,6.7,2.5,0.1,0.8,0.5,0.4,10.9,0.7,0.1,0.9,0.2,0.9,0.1,0.5,0.3,2.5,0.4,0.4,0.1,0.4,1.6,0.9,1.1,12.1,0.5,0.3,0.5,0.0,1.3,0.7,2.9,0.0,0.1,1.6,0.4,0.9,1.1,1.3,3.1,0.0,0.8,1.1,0.6,0.3,2.4,0.4,,0.7,0.5,0.6,2.2,2.0,0.0,0.7,5.4,0.3,2.4,3.7,1.1,1.5,0.9,3.7,6.1,0.6,0.5,3.3,1.4,0.5,1.6,3.1,0.8,0.3,0.6,0.0,0.7,0.1,0.0,0.4,0.0,1.9,1.1,0.1,0.9
MSN,0.9,0.0,1.1,3.6,0.5,16.8,2.0,0.7,7.7,1.0,3.6,3.5,11.9,1.1,2.6,3.7,7.5,1.9,5.3,1.8,6.3,0.3,21.1,7.5,0.4,0.9,0.6,2.3,24.4,1.2,0.3,0.9,2.6,2.4,0.1,3.1,1.3,11.8,2.1,0.6,1.6,0.9,2.2,2.6,3.4,10.0,1.7,0.8,1.0,0.0,1.5,2.5,4.6,0.0,2.0,7.7,2.3,1.8,1.9,0.6,7.5,0.0,4.4,3.0,1.3,1.2,2.6,1.0,0.8,,9.9,2.7,4.1,3.1,0.0,27.5,3.9,0.0,22.4,8.2,4.5,4.7,3.2,14.8,6.9,1.2,3.0,10.0,5.1,0.2,3.1,32.2,2.8,0.7,6.9,0.0,3.3,1.5,0.0,0.8,0.0,2.5,3.6,1.9,2.4
MSY,1.8,0.9,4.1,11.2,2.9,126.9,7.3,2.0,20.5,3.0,5.0,46.8,90.6,3.0,5.4,14.8,110.4,6.6,23.4,4.3,38.8,4.9,75.2,27.7,1.2,6.8,3.3,1.9,130.8,4.7,0.7,8.7,1.1,10.8,0.5,5.6,3.0,162.7,3.8,3.0,2.9,1.3,12.2,9.5,10.0,106.9,4.2,5.5,3.8,5.4,6.0,6.6,31.6,2.9,1.1,25.8,5.1,7.5,8.8,10.3,44.8,0.0,5.8,13.5,4.0,3.5,19.1,1.2,0.8,10.1,,10.2,18.0,17.3,0.1,13.7,28.2,2.2,98.5,36.5,1.7,14.8,8.8,69.1,237.2,4.0,10.9,46.3,16.4,3.8,18.2,205.4,4.1,2.1,4.0,0.0,10.3,1.5,0.0,2.4,0.1,12.7,11.8,0.7,13.4
MYR,30.8,10.3,0.2,24.1,1.5,8.7,0.4,5.4,46.6,1.5,2.5,10.2,22.1,0.7,3.4,7.6,41.7,0.3,18.7,1.3,1.7,1.7,3.6,11.4,0.2,0.3,2.6,0.6,17.0,1.8,0.2,2.8,1.1,1.1,0.3,2.4,0.8,46.0,1.0,4.6,0.4,0.8,6.3,0.3,0.6,6.4,18.3,0.2,1.3,28.6,1.7,0.7,10.1,15.2,1.2,1.9,0.6,5.0,2.0,0.7,11.1,0.0,8.5,3.6,0.2,11.6,5.5,0.6,0.6,2.7,10.3,,3.7,6.3,0.0,3.4,1.0,0.6,16.6,38.1,2.4,32.0,4.1,0.9,42.0,0.4,10.3,5.8,0.4,1.5,5.9,28.2,1.9,0.8,2.5,21.7,10.9,0.5,0.0,0.4,2.2,2.3,2.2,1.3,2.4
OKC,1.3,0.1,2.9,3.9,1.8,23.1,2.6,1.1,7.5,1.0,9.0,18.0,36.2,3.4,1.5,4.8,15.6,4.9,8.2,2.8,7.8,2.3,20.7,11.1,0.4,3.4,1.3,1.7,11.4,6.0,0.5,3.4,8.3,8.1,0.1,2.9,1.9,17.9,1.7,2.1,1.6,2.3,5.5,4.1,5.3,52.1,0.8,3.3,4.1,0.0,0.5,2.8,13.4,0.2,3.1,13.5,1.0,3.4,1.8,4.9,4.2,0.0,4.5,4.7,2.3,2.5,6.9,1.9,2.3,4.2,17.7,3.9,,3.9,0.1,7.2,7.0,0.9,20.9,11.9,7.6,4.8,2.9,16.5,57.5,1.8,2.6,26.2,7.5,2.0,7.0,60.8,0.3,1.3,5.1,0.0,4.0,1.6,0.0,1.4,0.0,3.5,6.4,16.3,0.6
OMA,1.2,0.1,1.7,3.6,1.6,23.8,2.6,0.9,7.4,1.1,5.8,22.0,35.1,2.5,1.9,4.8,12.3,3.1,7.2,3.4,9.3,0.5,27.5,10.9,0.1,2.5,0.8,1.9,51.8,3.1,0.7,1.3,7.6,5.7,0.1,4.5,1.4,26.5,0.7,1.7,1.6,2.0,5.0,3.6,4.4,27.9,0.8,4.2,3.0,0.0,0.5,4.0,11.3,0.1,2.4,12.6,1.9,2.6,3.8,1.6,1.6,0.0,4.2,6.4,2.0,2.4,6.6,1.2,2.1,3.0,17.2,6.3,3.9,,0.1,18.4,7.1,0.3,27.4,9.6,8.7,4.7,3.2,17.0,84.5,1.8,2.4,20.0,8.2,1.6,7.1,73.2,0.6,2.2,20.1,0.0,3.4,1.7,0.0,1.1,0.0,2.5,5.9,11.7,1.3
ORH,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,,10.6,0.3,0.0,0.4,0.2,0.0,0.1,0.0,0.4,0.5,0.1,0.0,0.1,0.1,0.0,0.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
PGD,22.6,41.9,1.7,27.7,27.8,18.2,12.5,8.1,71.3,5.4,6.1,65.0,53.5,1.4,11.4,32.4,73.1,2.1,109.7,5.7,13.9,13.8,43.4,83.2,0.9,0.8,1.6,0.1,44.7,9.1,2.6,26.2,1.3,2.3,1.8,1.0,6.4,6.3,8.0,14.6,0.1,1.1,44.9,4.8,11.7,27.3,48.8,1.2,3.0,33.0,4.5,10.4,105.1,36.1,1.7,2.8,0.9,13.5,3.7,1.3,42.4,0.0,13.6,7.3,1.3,27.1,65.3,0.1,0.7,28.0,13.3,3.2,7.1,18.2,10.9,,12.3,13.8,5.7,80.9,3.2,75.5,18.9,38.1,392.0,2.8,22.7,8.6,4.3,22.4,31.8,11.4,8.9,1.3,3.6,5.5,23.8,1.2,7.2,1.6,2.0,6.1,14.7,1.7,4.5
PHF,0.3,0.1,1.6,5.8,1.6,18.6,1.6,0.8,21.7,2.2,6.1,13.9,28.2,2.1,2.8,6.7,11.6,2.2,8.3,2.5,13.2,2.5,14.2,13.9,0.5,2.0,0.5,2.2,42.8,4.0,0.7,3.6,5.4,6.0,0.3,7.9,1.4,58.3,1.9,1.6,1.4,6.0,5.3,0.7,3.2,25.9,0.9,1.1,5.3,4.4,3.3,0.5,12.6,6.3,3.1,46.0,1.4,2.7,4.1,0.9,14.0,0.0,1.0,11.1,1.4,5.5,6.8,2.5,5.5,3.8,29.0,1.0,7.2,7.3,0.3,12.2,,1.1,45.3,11.3,11.9,28.3,8.4,1.6,55.9,0.6,4.3,21.5,5.4,1.9,7.6,92.3,2.8,2.9,4.6,0.0,5.2,1.8,0.0,0.7,0.0,4.3,4.5,5.5,3.6
PIA,0.2,0.0,0.2,0.6,0.0,3.9,0.4,0.1,1.4,0.1,0.7,0.1,7.4,0.1,0.3,0.5,1.7,0.6,1.0,0.5,1.9,0.0,8.1,0.6,0.0,0.3,0.1,0.2,13.1,0.1,0.1,0.1,0.6,0.7,0.0,0.9,0.5,3.9,0.4,0.1,0.2,0.2,0.2,0.6,1.2,3.9,0.4,0.2,0.5,0.0,0.5,0.4,0.2,0.0,0.2,2.2,0.3,0.2,0.5,0.2,0.7,0.0,0.9,0.6,0.4,0.3,0.1,0.2,0.2,0.0,2.1,0.6,0.9,0.3,0.0,13.8,1.1,,8.2,1.5,1.1,0.6,0.5,4.4,3.4,0.4,0.4,3.7,1.6,0.0,0.2,9.8,0.1,0.2,18.7,0.0,0.4,0.2,0.0,0.2,0.0,0.6,0.7,6.5,0.3
PIE,14.8,34.7,3.6,43.3,12.9,96.8,23.7,13.7,106.5,18.8,37.4,77.8,165.6,3.0,20.8,81.4,173.5,6.7,121.8,10.4,40.2,13.3,115.1,85.8,1.3,3.2,8.6,0.3,145.9,11.8,2.2,18.8,2.6,11.4,8.0,27.5,8.4,96.6,10.8,11.6,0.4,7.1,39.1,13.4,27.2,90.4,36.4,4.5,16.2,32.4,10.5,19.9,106.0,64.9,6.3,4.5,5.2,14.1,12.6,5.6,84.9,0.0,15.9,34.6,2.8,18.0,54.2,0.2,2.4,21.7,98.4,16.5,21.5,27.2,0.4,7.2,44.9,8.4,,108.1,22.8,73.4,26.0,138.6,428.6,8.9,39.1,48.7,5.9,10.6,51.9,25.7,12.3,4.3,10.5,5.0,37.4,0.7,5.2,5.2,25.1,15.8,28.5,2.8,20.5
PIT,0.5,0.3,3.4,6.7,2.6,50.4,3.8,0.4,19.8,3.0,12.8,27.6,69.8,4.0,5.2,1.5,14.7,6.0,2.0,5.2,37.9,3.4,48.8,1.9,0.7,2.4,0.3,5.1,80.5,0.6,1.2,5.7,8.0,7.2,0.1,21.2,2.6,177.2,3.2,0.5,2.7,3.3,4.8,5.1,14.1,57.8,0.7,2.0,4.7,0.0,3.9,8.5,9.6,1.2,4.4,46.4,2.2,2.2,6.3,5.6,21.3,0.0,0.7,13.5,2.2,2.6,10.7,20.2,3.8,8.1,36.0,38.7,11.9,9.7,0.2,79.8,11.5,1.5,110.0,,10.8,15.9,9.3,52.5,135.9,1.2,1.5,23.7,26.8,1.0,6.1,250.8,4.0,3.1,65.5,0.0,2.6,3.6,0.0,1.0,0.0,9.2,7.3,18.1,5.8
PNS,1.9,0.4,1.1,4.3,2.1,14.0,2.1,1.1,7.1,1.8,0.9,15.6,29.9,0.1,1.9,4.4,15.2,1.9,7.7,1.3,6.7,3.5,18.9,10.1,0.5,2.1,1.5,0.9,43.3,3.6,0.7,4.1,1.0,3.7,0.4,4.1,1.4,42.5,2.6,1.7,0.4,0.3,6.9,2.9,3.1,22.3,1.9,0.7,1.0,0.0,3.4,3.0,11.7,0.1,0.4,4.8,1.9,2.5,3.5,2.5,23.2,0.0,4.4,7.0,0.7,2.1,8.3,1.2,1.1,4.6,1.3,2.1,7.8,8.9,0.0,3.3,13.9,1.1,23.2,10.9,,7.7,3.5,18.1,59.7,1.8,2.7,12.3,3.3,2.3,4.8,39.4,2.7,1.3,2.4,0.0,4.9,0.3,0.0,1.3,0.0,5.2,3.7,1.5,7.1
PVD,0.1,0.1,2.2,0.3,1.0,17.1,3.0,0.1,1.3,0.2,5.7,8.8,24.5,1.3,0.3,2.5,40.3,3.5,5.5,3.1,41.1,1.5,38.1,9.5,0.3,0.6,0.7,14.5,12.3,2.1,0.2,2.5,2.8,2.0,0.1,4.7,0.8,93.1,1.1,1.2,1.3,1.7,4.2,3.8,15.8,10.0,0.1,0.4,2.7,0.0,1.6,10.0,10.2,0.0,1.5,26.4,0.5,2.4,2.5,0.2,11.4,0.0,1.3,6.4,0.3,0.3,6.5,1.2,1.6,4.6,15.2,31.4,5.1,4.6,0.1,76.2,28.4,0.6,74.2,15.6,7.9,,0.4,42.2,52.4,1.9,1.3,9.3,16.3,1.5,5.5,216.6,1.9,0.9,33.8,0.0,0.4,1.8,0.0,1.0,0.0,2.8,5.4,3.6,3.4
